set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12211] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12212] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12213] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12214] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12215] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12216] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12217] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12218] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12219] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12220] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12221] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12222] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12223] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12224] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12225] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12226] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12227] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12228] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12229] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12230] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12231] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12232] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12233] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12234] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12235] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12236] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12237] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12238] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12239] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12240] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12241] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12242] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12243] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12244] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12245] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12246] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12247] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12248] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12249] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12250] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12251] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12252] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12253] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12254] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12255] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12256] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12257] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12258] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12259] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12260] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12261] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12262] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12263] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12264] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12265] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12266] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12267] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12268] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12269] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12270] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12271] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12272] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12273] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12274] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12275] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12276] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12277] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12278] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12279] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12280] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12281] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12282] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12283] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12284] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12285] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12286] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12287] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12288] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12289] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12290] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12291] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12292] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12293] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12294] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12295] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12296] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12297] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12298] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12299] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12300] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12301] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12302] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12303] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12304] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12305] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12306] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12307] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12308] PHYSICAL METADATA BLOCK
